State,Year,Quarter,district,registeredUsers
chhattisgarh,2023,3,raipur ,1360842
chhattisgarh,2023,3,narayanpur ,30277
chhattisgarh,2023,3,kanker ,176464
chhattisgarh,2023,3,korea ,168739
chhattisgarh,2023,3,mungeli ,122300
chhattisgarh,2023,3,bilaspur ,705698
chhattisgarh,2023,3,balrampur ,133080
chhattisgarh,2023,3,bijapur ,61882
chhattisgarh,2023,3,bemetara ,155580
chhattisgarh,2023,3,bastar ,187517
chhattisgarh,2023,3,kondagaon ,102482
chhattisgarh,2023,3,mahasamund ,243585
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,diu ,2553
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,daman ,18677
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,dadra and nagar haveli ,32028
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,diu ,3229
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,daman ,25144
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,dadra and nagar haveli ,43085
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,diu ,3830
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,daman ,32651
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,dadra and nagar haveli ,55626
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,diu ,4609
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,daman ,42069
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,dadra and nagar haveli ,69833
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,diu ,5452
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,daman ,51093
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,dadra and nagar haveli ,83987
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,diu ,6193
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,daman ,58005
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,dadra and nagar haveli ,94382
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,diu ,6746
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,daman ,64854
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,dadra and nagar haveli ,105329
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,diu ,7323
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,daman ,72470
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,dadra and nagar haveli ,117805
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,diu ,7912
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,daman ,80329
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,dadra and nagar haveli ,130255
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,diu ,8795
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,daman ,90016
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,dadra and nagar haveli ,146003
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,diu ,9655
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,daman ,98108
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,dadra and nagar haveli ,160183
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,diu ,10550
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,daman ,108511
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,dadra and nagar haveli ,177432
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,diu ,11406
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,daman ,117728
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,dadra and nagar haveli ,192262
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,diu ,12220
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,daman ,126258
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,dadra and nagar haveli ,206516
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,diu ,13167
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,daman ,135976
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,dadra and nagar haveli ,222731
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,diu ,14047
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,daman ,145806
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,dadra and nagar haveli ,239110
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,diu ,14964
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,daman ,155029
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,dadra and nagar haveli ,254577
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,diu ,15811
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,daman ,163861
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,dadra and nagar haveli ,269344
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,diu ,16665
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,daman ,173219
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,dadra and nagar haveli ,284923
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,diu ,17427
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,daman ,182481
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,dadra and nagar haveli ,300217
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,diu ,18234
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,daman ,191432
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,dadra and nagar haveli ,314951
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,diu ,18972
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,daman ,199267
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,dadra and nagar haveli ,328125
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,diu ,19752
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,daman ,207437
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,dadra and nagar haveli ,341846
delhi,2018,1,south ,156706
delhi,2018,1,central ,202723
delhi,2018,1,new delhi ,212008
delhi,2018,1,west ,308558
delhi,2018,1,south west ,179197
delhi,2018,1,south east delhi ,251213
delhi,2018,1,shahdara ,114549
delhi,2018,1,north east ,95472
delhi,2018,1,east ,169295
delhi,2018,1,north west ,223679
delhi,2018,1,north ,173622
delhi,2018,2,south ,206935
delhi,2018,2,central ,267154
delhi,2018,2,new delhi ,282319
delhi,2018,2,west ,406877
delhi,2018,2,south west ,236789
delhi,2018,2,south east delhi ,333350
delhi,2018,2,shahdara ,152113
delhi,2018,2,north east ,127159
delhi,2018,2,east ,221449
delhi,2018,2,north west ,294038
delhi,2018,2,north ,227958
delhi,2018,3,south ,264628
delhi,2018,3,central ,340549
delhi,2018,3,new delhi ,363140
delhi,2018,3,west ,515854
delhi,2018,3,south west ,297663
delhi,2018,3,south east delhi ,423177
delhi,2018,3,shahdara ,192430
delhi,2018,3,north east ,159566
delhi,2018,3,east ,280847
delhi,2018,3,north west ,376806
delhi,2018,3,north ,290251
delhi,2018,4,south ,344311
delhi,2018,4,central ,446787
delhi,2018,4,new delhi ,470991
delhi,2018,4,west ,686653
delhi,2018,4,south west ,393208
delhi,2018,4,south east delhi ,564640
delhi,2018,4,shahdara ,257785
delhi,2018,4,north east ,216694
delhi,2018,4,east ,373139
delhi,2018,4,north west ,496928
delhi,2018,4,north ,379177
delhi,2019,1,south ,407519
delhi,2019,1,central ,529918
delhi,2019,1,new delhi ,558516
delhi,2019,1,west ,820526
delhi,2019,1,south west ,467571
delhi,2019,1,south east delhi ,671667
delhi,2019,1,shahdara ,310351
delhi,2019,1,north east ,262131
delhi,2019,1,east ,439639
delhi,2019,1,north west ,583438
delhi,2019,1,north ,447987
delhi,2019,2,south ,453829
delhi,2019,2,central ,596940
delhi,2019,2,new delhi ,637526
delhi,2019,2,west ,919096
delhi,2019,2,south west ,519422
delhi,2019,2,south east delhi ,749218
delhi,2019,2,shahdara ,352312
delhi,2019,2,north east ,298037
delhi,2019,2,east ,487121
delhi,2019,2,north west ,649377
delhi,2019,2,north ,502570
delhi,2019,3,south ,498200
delhi,2019,3,central ,658985
delhi,2019,3,new delhi ,705546
delhi,2019,3,west ,1008836
delhi,2019,3,south west ,567496
delhi,2019,3,south east delhi ,821304
delhi,2019,3,shahdara ,391827
delhi,2019,3,north east ,334361
delhi,2019,3,east ,532254
delhi,2019,3,north west ,709448
delhi,2019,3,north ,554029
delhi,2019,4,south ,533716
delhi,2019,4,central ,711015
delhi,2019,4,new delhi ,757888
delhi,2019,4,west ,1081496
delhi,2019,4,south west ,605482
delhi,2019,4,south east delhi ,883080
delhi,2019,4,shahdara ,425305
delhi,2019,4,north east ,366088
delhi,2019,4,east ,568283
delhi,2019,4,north west ,758620
delhi,2019,4,north ,598910
delhi,2020,1,south ,570329
delhi,2020,1,central ,765149
delhi,2020,1,new delhi ,810489
delhi,2020,1,west ,1160353
delhi,2020,1,south west ,644981
delhi,2020,1,south east delhi ,947535
delhi,2020,1,shahdara ,460186
delhi,2020,1,north east ,399504
delhi,2020,1,east ,604768
delhi,2020,1,north west ,814249
delhi,2020,1,north ,648654
delhi,2020,2,south ,608062
delhi,2020,2,central ,821609
delhi,2020,2,new delhi ,858515
delhi,2020,2,west ,1243875
delhi,2020,2,south west ,688199
delhi,2020,2,south east delhi ,1011931
delhi,2020,2,shahdara ,498710
delhi,2020,2,north east ,437601
delhi,2020,2,east ,641233
delhi,2020,2,north west ,877218
delhi,2020,2,north ,704186
delhi,2020,3,south ,651616
delhi,2020,3,central ,888536
delhi,2020,3,new delhi ,912051
delhi,2020,3,west ,1343895
delhi,2020,3,south west ,739034
delhi,2020,3,south east delhi ,1088989
delhi,2020,3,shahdara ,543831
delhi,2020,3,north east ,479924
delhi,2020,3,east ,685955
delhi,2020,3,north west ,946954
delhi,2020,3,north ,763389
delhi,2020,4,south ,699303
delhi,2020,4,central ,962750
delhi,2020,4,new delhi ,971715
delhi,2020,4,west ,1451042
delhi,2020,4,south west ,792331
delhi,2020,4,south east delhi ,1174221
delhi,2020,4,shahdara ,591192
delhi,2020,4,north east ,525117
delhi,2020,4,east ,734091
delhi,2020,4,north west ,1019187
delhi,2020,4,north ,827019
delhi,2021,1,south ,749173
delhi,2021,1,central ,1035060
delhi,2021,1,new delhi ,1039016
delhi,2021,1,west ,1559112
delhi,2021,1,south west ,849223
delhi,2021,1,south east delhi ,1260645
delhi,2021,1,shahdara ,636908
delhi,2021,1,north east ,567107
delhi,2021,1,east ,786308
delhi,2021,1,north west ,1094464
delhi,2021,1,north ,890194
delhi,2021,2,south ,799590
delhi,2021,2,central ,1105640
delhi,2021,2,new delhi ,1108471
delhi,2021,2,west ,1666267
delhi,2021,2,south west ,906878
delhi,2021,2,south east delhi ,1346063
delhi,2021,2,shahdara ,681073
delhi,2021,2,north east ,607021
delhi,2021,2,east ,839185
delhi,2021,2,north west ,1170137
delhi,2021,2,north ,952374
delhi,2021,3,south ,855177
delhi,2021,3,central ,1184217
delhi,2021,3,new delhi ,1185588
delhi,2021,3,west ,1785309
delhi,2021,3,south west ,971552
delhi,2021,3,south east delhi ,1441462
delhi,2021,3,shahdara ,730209
delhi,2021,3,north east ,651695
delhi,2021,3,east ,898137
delhi,2021,3,north west ,1254464
delhi,2021,3,north ,1022251
delhi,2021,4,south ,911399
delhi,2021,4,central ,1263911
delhi,2021,4,new delhi ,1263818
delhi,2021,4,west ,1905278
delhi,2021,4,south west ,1036466
delhi,2021,4,south east delhi ,1537814
delhi,2021,4,shahdara ,779798
delhi,2021,4,north east ,696743
delhi,2021,4,east ,957392
delhi,2021,4,north west ,1339480
delhi,2021,4,north ,1093028
delhi,2022,1,south ,963775
delhi,2022,1,central ,1338465
delhi,2022,1,new delhi ,1336911
delhi,2022,1,west ,2017435
delhi,2022,1,south west ,1097016
delhi,2022,1,south east delhi ,1628157
delhi,2022,1,shahdara ,826148
delhi,2022,1,north east ,739301
delhi,2022,1,east ,1013024
delhi,2022,1,north west ,1419688
delhi,2022,1,north ,1159277
delhi,2022,2,south ,1013938
delhi,2022,2,central ,1409776
delhi,2022,2,new delhi ,1406687
delhi,2022,2,west ,2124626
delhi,2022,2,south west ,1155288
delhi,2022,2,south east delhi ,1714507
delhi,2022,2,shahdara ,870461
delhi,2022,2,north east ,779621
delhi,2022,2,east ,1066632
delhi,2022,2,north west ,1496002
delhi,2022,2,north ,1222605
delhi,2022,3,south ,1065631
delhi,2022,3,central ,1483786
delhi,2022,3,new delhi ,1479669
delhi,2022,3,west ,2235907
delhi,2022,3,south west ,1215697
delhi,2022,3,south east delhi ,1804123
delhi,2022,3,shahdara ,917096
delhi,2022,3,north east ,822038
delhi,2022,3,east ,1121596
delhi,2022,3,north west ,1575473
delhi,2022,3,north ,1288507
delhi,2022,4,south ,1117981
delhi,2022,4,central ,1558400
delhi,2022,4,new delhi ,1552874
delhi,2022,4,west ,2348063
delhi,2022,4,south west ,1275864
delhi,2022,4,south east delhi ,1894776
delhi,2022,4,shahdara ,963656
delhi,2022,4,north east ,864990
delhi,2022,4,east ,1177294
delhi,2022,4,north west ,1655730
delhi,2022,4,north ,1354521
delhi,2023,1,south ,1167338
delhi,2023,1,central ,1629248
delhi,2023,1,new delhi ,1622600
delhi,2023,1,west ,2453869
delhi,2023,1,south west ,1333347
delhi,2023,1,south east delhi ,1980915
delhi,2023,1,shahdara ,1007880
delhi,2023,1,north east ,906036
delhi,2023,1,east ,1230290
delhi,2023,1,north west ,1731494
delhi,2023,1,north ,1416994
delhi,2023,2,south ,1209741
delhi,2023,2,central ,1690547
delhi,2023,2,new delhi ,1682305
delhi,2023,2,west ,2546575
delhi,2023,2,south west ,1383364
delhi,2023,2,south east delhi ,2055408
delhi,2023,2,shahdara ,1046614
delhi,2023,2,north east ,942089
delhi,2023,2,east ,1275831
delhi,2023,2,north west ,1798636
delhi,2023,2,north ,1471979
delhi,2023,3,south ,1254751
delhi,2023,3,central ,1754227
delhi,2023,3,new delhi ,1744588
delhi,2023,3,west ,2641529
delhi,2023,3,south west ,1435544
delhi,2023,3,south east delhi ,2133173
delhi,2023,3,shahdara ,1086372
delhi,2023,3,north east ,978886
delhi,2023,3,east ,1322844
delhi,2023,3,north west ,1866671
delhi,2023,3,north ,1528582
goa,2018,1,north goa ,57769
goa,2018,1,south goa ,34167
goa,2018,2,north goa ,76192
goa,2018,2,south goa ,45982
goa,2018,3,north goa ,95307
goa,2018,3,south goa ,58495
goa,2018,4,north goa ,121001
goa,2018,4,south goa ,74349
goa,2019,1,north goa ,147802
goa,2019,1,south goa ,90350
goa,2019,2,north goa ,173002
goa,2019,2,south goa ,105938
goa,2019,3,north goa ,197361
goa,2019,3,south goa ,119833
goa,2019,4,north goa ,220385
goa,2019,4,south goa ,133161
goa,2020,1,north goa ,244309
goa,2020,1,south goa ,147591
goa,2020,2,north goa ,267533
goa,2020,2,south goa ,163106
goa,2020,3,north goa ,294195
goa,2020,3,south goa ,180767
goa,2020,4,north goa ,326479
goa,2020,4,south goa ,201105
goa,2021,1,north goa ,352593
goa,2021,1,south goa ,217442
goa,2021,2,north goa ,376703
goa,2021,2,south goa ,232403
goa,2021,3,north goa ,403952
goa,2021,3,south goa ,249506
goa,2021,4,north goa ,430814
goa,2021,4,south goa ,266364
goa,2022,1,north goa ,456250
goa,2022,1,south goa ,282378
goa,2022,2,north goa ,480353
goa,2022,2,south goa ,297426
goa,2022,3,north goa ,504946
goa,2022,3,south goa ,312884
goa,2022,4,north goa ,527826
goa,2022,4,south goa ,327376
goa,2023,1,north goa ,550554
goa,2023,1,south goa ,341631
goa,2023,2,north goa ,571111
goa,2023,2,south goa ,354909
goa,2023,3,north goa ,593176
goa,2023,3,south goa ,368655
gujarat,2018,1,anand ,68052
gujarat,2018,1,jamnagar ,52416
gujarat,2018,1,devbhumi dwarka ,15809
gujarat,2018,1,rajkot ,133017
gujarat,2018,1,aravallis ,21932
gujarat,2018,1,chhotaudepur ,6581
gujarat,2018,1,botad ,23738
gujarat,2018,1,bharuch ,101575
gujarat,2018,1,bhavnagar ,87683
gujarat,2018,1,junagadh ,35171
gujarat,2018,1,mahesana ,97004
gujarat,2018,1,the dangs ,2285
gujarat,2018,1,kheda ,43776
gujarat,2018,1,surat ,489852
gujarat,2018,1,porbandar ,12401
gujarat,2018,1,gandhinagar ,118201
gujarat,2018,1,panch mahals ,32263
gujarat,2018,1,narmada ,6464
gujarat,2018,1,gir somnath ,28292
gujarat,2018,1,valsad ,80138
gujarat,2018,1,mahisagar ,11048
gujarat,2018,1,sabar kantha ,45018
gujarat,2018,1,tapi ,14231
gujarat,2018,1,vadodara ,205722
gujarat,2018,1,banas kantha ,93506
gujarat,2018,1,amreli ,31443
gujarat,2018,1,ahmadabad ,572811
gujarat,2018,1,dohad ,16212
gujarat,2018,1,navsari ,35437
gujarat,2018,1,patan ,41580
gujarat,2018,1,kachchh ,97838
gujarat,2018,1,surendranagar ,38223
gujarat,2018,1,morbi ,30329
gujarat,2018,2,anand ,90911
gujarat,2018,2,jamnagar ,68512
gujarat,2018,2,devbhumi dwarka ,20804
gujarat,2018,2,rajkot ,174778
gujarat,2018,2,aravallis ,29047
gujarat,2018,2,chhotaudepur ,9053
gujarat,2018,2,botad ,32883
gujarat,2018,2,bharuch ,134500
gujarat,2018,2,bhavnagar ,115812
gujarat,2018,2,junagadh ,46665
gujarat,2018,2,mahesana ,127614
gujarat,2018,2,the dangs ,3047
gujarat,2018,2,kheda ,60097
gujarat,2018,2,surat ,652372
gujarat,2018,2,porbandar ,16137
gujarat,2018,2,gandhinagar ,155539
gujarat,2018,2,panch mahals ,42575
gujarat,2018,2,narmada ,8940
gujarat,2018,2,gir somnath ,37769
gujarat,2018,2,valsad ,107556
gujarat,2018,2,mahisagar ,15010
gujarat,2018,2,sabar kantha ,59955
gujarat,2018,2,tapi ,19255
gujarat,2018,2,vadodara ,271730
gujarat,2018,2,banas kantha ,125849
gujarat,2018,2,amreli ,42021
gujarat,2018,2,ahmadabad ,751746
gujarat,2018,2,dohad ,21983
gujarat,2018,2,navsari ,47911
gujarat,2018,2,patan ,55482
gujarat,2018,2,kachchh ,128064
gujarat,2018,2,surendranagar ,51527
gujarat,2018,2,morbi ,40681
gujarat,2018,3,anand ,116188
gujarat,2018,3,jamnagar ,84886
gujarat,2018,3,devbhumi dwarka ,26394
gujarat,2018,3,rajkot ,215459
gujarat,2018,3,aravallis ,37199
gujarat,2018,3,chhotaudepur ,12302
gujarat,2018,3,botad ,40559
gujarat,2018,3,bharuch ,169322
gujarat,2018,3,bhavnagar ,141243
gujarat,2018,3,junagadh ,57716
gujarat,2018,3,mahesana ,157274
gujarat,2018,3,the dangs ,4052
gujarat,2018,3,kheda ,80213
gujarat,2018,3,surat ,808005
gujarat,2018,3,porbandar ,19921
gujarat,2018,3,gandhinagar ,190882
gujarat,2018,3,panch mahals ,53825
gujarat,2018,3,narmada ,11957
gujarat,2018,3,gir somnath ,47541
gujarat,2018,3,valsad ,136470
gujarat,2018,3,mahisagar ,19564
gujarat,2018,3,sabar kantha ,74642
gujarat,2018,3,tapi ,25095
gujarat,2018,3,vadodara ,335125
gujarat,2018,3,banas kantha ,159591
gujarat,2018,3,amreli ,53845
gujarat,2018,3,ahmadabad ,919252
gujarat,2018,3,dohad ,28857
gujarat,2018,3,navsari ,60676
gujarat,2018,3,patan ,68979
gujarat,2018,3,kachchh ,158762
gujarat,2018,3,surendranagar ,65325
gujarat,2018,3,morbi ,52062
gujarat,2018,4,anand ,146258
gujarat,2018,4,jamnagar ,103876
gujarat,2018,4,devbhumi dwarka ,32660
gujarat,2018,4,rajkot ,260602
gujarat,2018,4,aravallis ,46665
gujarat,2018,4,chhotaudepur ,16321
gujarat,2018,4,botad ,49066
gujarat,2018,4,bharuch ,211843
gujarat,2018,4,bhavnagar ,173699
gujarat,2018,4,junagadh ,70174
gujarat,2018,4,mahesana ,192493
gujarat,2018,4,the dangs ,5165
gujarat,2018,4,kheda ,103292
gujarat,2018,4,surat ,998807
gujarat,2018,4,porbandar ,24373
gujarat,2018,4,gandhinagar ,242368
gujarat,2018,4,panch mahals ,68139
gujarat,2018,4,narmada ,15550
gujarat,2018,4,gir somnath ,58991
gujarat,2018,4,valsad ,172711
gujarat,2018,4,mahisagar ,25483
gujarat,2018,4,sabar kantha ,91898
gujarat,2018,4,tapi ,31929
gujarat,2018,4,vadodara ,421895
gujarat,2018,4,banas kantha ,197774
gujarat,2018,4,amreli ,67020
gujarat,2018,4,ahmadabad ,1212636
gujarat,2018,4,dohad ,36773
gujarat,2018,4,navsari ,75930
gujarat,2018,4,patan ,84408
gujarat,2018,4,kachchh ,195295
gujarat,2018,4,surendranagar ,80167
gujarat,2018,4,morbi ,64779
gujarat,2019,1,anand ,175515
gujarat,2019,1,jamnagar ,121494
gujarat,2019,1,devbhumi dwarka ,38898
gujarat,2019,1,rajkot ,304415
gujarat,2019,1,aravallis ,56005
gujarat,2019,1,chhotaudepur ,20287
gujarat,2019,1,botad ,58126
gujarat,2019,1,bharuch ,252826
gujarat,2019,1,bhavnagar ,203617
gujarat,2019,1,junagadh ,82263
gujarat,2019,1,mahesana ,230403
gujarat,2019,1,the dangs ,6307
gujarat,2019,1,kheda ,124598
gujarat,2019,1,surat ,1180819
gujarat,2019,1,porbandar ,28860
gujarat,2019,1,gandhinagar ,291858
gujarat,2019,1,panch mahals ,81863
gujarat,2019,1,narmada ,19105
gujarat,2019,1,gir somnath ,69872
gujarat,2019,1,valsad ,209477
gujarat,2019,1,mahisagar ,31147
gujarat,2019,1,sabar kantha ,109651
gujarat,2019,1,tapi ,39195
gujarat,2019,1,vadodara ,502520
gujarat,2019,1,banas kantha ,239613
gujarat,2019,1,amreli ,79690
gujarat,2019,1,ahmadabad ,1450100
gujarat,2019,1,dohad ,45141
gujarat,2019,1,navsari ,91812
gujarat,2019,1,patan ,101323
gujarat,2019,1,kachchh ,231871
gujarat,2019,1,surendranagar ,95904
gujarat,2019,1,morbi ,77961
gujarat,2019,2,anand ,200007
gujarat,2019,2,jamnagar ,138108
gujarat,2019,2,devbhumi dwarka ,44975
gujarat,2019,2,rajkot ,345178
gujarat,2019,2,aravallis ,64792
gujarat,2019,2,chhotaudepur ,23917
gujarat,2019,2,botad ,65918
gujarat,2019,2,bharuch ,284296
gujarat,2019,2,bhavnagar ,230394
gujarat,2019,2,junagadh ,94221
gujarat,2019,2,mahesana ,259949
gujarat,2019,2,the dangs ,7532
gujarat,2019,2,kheda ,144091
gujarat,2019,2,surat ,1338584
gujarat,2019,2,porbandar ,33374
gujarat,2019,2,gandhinagar ,333056
gujarat,2019,2,panch mahals ,92621
gujarat,2019,2,narmada ,22503
gujarat,2019,2,gir somnath ,79786
gujarat,2019,2,valsad ,238764
gujarat,2019,2,mahisagar ,36155
gujarat,2019,2,sabar kantha ,123754
gujarat,2019,2,tapi ,45441
gujarat,2019,2,vadodara ,572031
gujarat,2019,2,banas kantha ,271379
gujarat,2019,2,amreli ,91819
gujarat,2019,2,ahmadabad ,1656341
gujarat,2019,2,dohad ,52197
gujarat,2019,2,navsari ,106244
gujarat,2019,2,patan ,115299
gujarat,2019,2,kachchh ,261458
gujarat,2019,2,surendranagar ,110431
gujarat,2019,2,morbi ,90030
gujarat,2019,3,anand ,226293
gujarat,2019,3,jamnagar ,154042
gujarat,2019,3,devbhumi dwarka ,49534
gujarat,2019,3,rajkot ,384852
gujarat,2019,3,aravallis ,73003
gujarat,2019,3,chhotaudepur ,27128
gujarat,2019,3,botad ,72181
gujarat,2019,3,bharuch ,315856
gujarat,2019,3,bhavnagar ,255608
gujarat,2019,3,junagadh ,104847
gujarat,2019,3,mahesana ,286652
gujarat,2019,3,the dangs ,8306
gujarat,2019,3,kheda ,162956
gujarat,2019,3,surat ,1481391
gujarat,2019,3,porbandar ,36834
gujarat,2019,3,gandhinagar ,372464
gujarat,2019,3,panch mahals ,102546
gujarat,2019,3,narmada ,25267
gujarat,2019,3,gir somnath ,88366
gujarat,2019,3,valsad ,266134
gujarat,2019,3,mahisagar ,40679
gujarat,2019,3,sabar kantha ,138237
gujarat,2019,3,tapi ,51028
gujarat,2019,3,vadodara ,637678
gujarat,2019,3,banas kantha ,301373
gujarat,2019,3,amreli ,101453
gujarat,2019,3,ahmadabad ,1848860
gujarat,2019,3,dohad ,59460
gujarat,2019,3,navsari ,118324
gujarat,2019,3,patan ,128573
gujarat,2019,3,kachchh ,285519
gujarat,2019,3,surendranagar ,122518
gujarat,2019,3,morbi ,101337
gujarat,2019,4,anand ,252401
gujarat,2019,4,jamnagar ,171337
gujarat,2019,4,devbhumi dwarka ,55209
gujarat,2019,4,rajkot ,426178
gujarat,2019,4,aravallis ,83136
gujarat,2019,4,chhotaudepur ,31338
gujarat,2019,4,botad ,80499
gujarat,2019,4,bharuch ,350619
gujarat,2019,4,bhavnagar ,286520
gujarat,2019,4,junagadh ,117357
gujarat,2019,4,mahesana ,316985
gujarat,2019,4,the dangs ,9594
gujarat,2019,4,kheda ,182669
gujarat,2019,4,surat ,1624077
gujarat,2019,4,porbandar ,40962
gujarat,2019,4,gandhinagar ,408526
gujarat,2019,4,panch mahals ,115707
gujarat,2019,4,narmada ,28910
gujarat,2019,4,gir somnath ,98982
gujarat,2019,4,valsad ,296977
gujarat,2019,4,mahisagar ,47237
gujarat,2019,4,sabar kantha ,155618
gujarat,2019,4,tapi ,58115
gujarat,2019,4,vadodara ,700817
gujarat,2019,4,banas kantha ,339582
gujarat,2019,4,amreli ,114242
gujarat,2019,4,ahmadabad ,2015947
gujarat,2019,4,dohad ,69618
gujarat,2019,4,navsari ,131460
gujarat,2019,4,patan ,144779
gujarat,2019,4,kachchh ,314732
gujarat,2019,4,surendranagar ,138218
gujarat,2019,4,morbi ,115451
gujarat,2020,1,anand ,277835
gujarat,2020,1,jamnagar ,188224
gujarat,2020,1,devbhumi dwarka ,61293
gujarat,2020,1,rajkot ,469636
gujarat,2020,1,aravallis ,94716
gujarat,2020,1,chhotaudepur ,36116
gujarat,2020,1,botad ,88241
gujarat,2020,1,bharuch ,384819
gujarat,2020,1,bhavnagar ,315412
gujarat,2020,1,junagadh ,130231
gujarat,2020,1,mahesana ,349897
gujarat,2020,1,the dangs ,10877
gujarat,2020,1,kheda ,204548
gujarat,2020,1,surat ,1772703
gujarat,2020,1,porbandar ,45383
gujarat,2020,1,gandhinagar ,445290
gujarat,2020,1,panch mahals ,129831
gujarat,2020,1,narmada ,33074
gujarat,2020,1,gir somnath ,110211
gujarat,2020,1,valsad ,330053
gujarat,2020,1,mahisagar ,54880
gujarat,2020,1,sabar kantha ,174426
gujarat,2020,1,tapi ,65634
gujarat,2020,1,vadodara ,763969
gujarat,2020,1,banas kantha ,386212
gujarat,2020,1,amreli ,126423
gujarat,2020,1,ahmadabad ,2185983
gujarat,2020,1,dohad ,81529
gujarat,2020,1,navsari ,146018
gujarat,2020,1,patan ,164027
gujarat,2020,1,kachchh ,347270
gujarat,2020,1,surendranagar ,154610
gujarat,2020,1,morbi ,130472
gujarat,2020,2,anand ,307408
gujarat,2020,2,jamnagar ,208647
gujarat,2020,2,devbhumi dwarka ,69591
gujarat,2020,2,rajkot ,522650
gujarat,2020,2,aravallis ,109491
gujarat,2020,2,chhotaudepur ,43696
gujarat,2020,2,botad ,100129
gujarat,2020,2,bharuch ,423017
gujarat,2020,2,bhavnagar ,354301
gujarat,2020,2,junagadh ,147012
gujarat,2020,2,mahesana ,389562
gujarat,2020,2,the dangs ,12754
gujarat,2020,2,kheda ,232123
gujarat,2020,2,surat ,1935894
gujarat,2020,2,porbandar ,50733
gujarat,2020,2,gandhinagar ,488351
gujarat,2020,2,panch mahals ,148675
gujarat,2020,2,narmada ,39531
gujarat,2020,2,gir somnath ,125777
gujarat,2020,2,valsad ,372771
gujarat,2020,2,mahisagar ,64428
